id,amount,jurisdiction,segment,as_of
73,8072,NY,B,2026-08-21
74,8073,CA,B,2026-08-21
75,8074,NY,C,2026-08-21
76,8075,CA,A,2026-08-21
77,8076,NY,A,2026-08-21
78,8077,CA,B,2026-08-21
79,8078,NY,B,2026-08-21
80,8079,CA,C,2026-08-21
81,8080,NY,A,2026-08-21
82,8081,CA,A,2026-08-21
83,8082,NY,B,2026-08-21
84,8083,CA,B,2026-08-21
85,8084,NY,C,2026-08-21
86,8085,CA,A,2026-08-21
87,8086,NY,A,2026-08-21
88,8087,CA,B,2026-08-21
89,8088,NY,B,2026-08-21
90,8089,CA,C,2026-08-21
91,8090,NY,A,2026-08-21
92,8091,CA,A,2026-08-21
93,8092,NY,B,2026-08-21
94,8093,CA,B,2026-08-21
95,8094,NY,C,2026-08-21
96,8095,CA,A,2026-08-21
97,8096,NY,A,2026-08-21
98,8097,CA,B,2026-08-21
99,8098,NY,B,2026-08-21
100,8099,CA,C,2026-08-21
101,8100,NY,A,2026-08-21
102,8000,CA,A,2026-08-21
103,8001,NY,B,2026-08-21
104,8002,CA,B,2026-08-21
105,8003,NY,C,2026-08-21
106,8004,CA,A,2026-08-21
107,8005,NY,A,2026-08-21
108,8006,CA,B,2026-08-21
109,8007,NY,B,2026-08-21
110,8008,CA,C,2026-08-21
111,8009,NY,A,2026-08-21
112,8010,CA,A,2026-08-21
113,8011,NY,B,2026-08-21
114,8012,CA,B,2026-08-21
115,8013,NY,C,2026-08-21
116,8014,CA,A,2026-08-21
117,8015,NY,A,2026-08-21
118,8016,CA,B,2026-08-21
119,8017,NY,B,2026-08-21
120,8018,CA,C,2026-08-21
121,8019,NY,A,2026-08-21
122,8020,CA,A,2026-08-21
123,8021,NY,B,2026-08-21
124,8022,CA,B,2026-08-21
125,8023,NY,C,2026-08-21
126,8024,CA,A,2026-08-21
127,8025,NY,A,2026-08-21
128,8026,CA,B,2026-08-21
129,8027,NY,B,2026-08-21
130,8028,CA,C,2026-08-21
131,8029,NY,A,2026-08-21
132,8030,CA,A,2026-08-21
133,8031,NY,B,2026-08-21
134,8032,CA,B,2026-08-21
135,8033,NY,C,2026-08-21
136,8034,CA,A,2026-08-21
137,8035,NY,A,2026-08-21
138,8036,CA,B,2026-08-21
139,8037,NY,B,2026-08-21
140,8038,CA,C,2026-08-21
141,8039,NY,A,2026-08-21
142,8040,CA,A,2026-08-21
143,8041,NY,B,2026-08-21
144,8042,CA,B,2026-08-21
145,8043,NY,C,2026-08-21
146,8044,CA,A,2026-08-21
147,8045,NY,A,2026-08-21
148,8046,CA,B,2026-08-21
149,8047,NY,B,2026-08-21
150,8048,CA,C,2026-08-21
151,8049,NY,A,2026-08-21
152,8050,CA,A,2026-08-21
153,8051,NY,B,2026-08-21
154,8052,CA,B,2026-08-21
155,8053,NY,C,2026-08-21
156,8054,CA,A,2026-08-21
157,8055,NY,A,2026-08-21
158,8056,CA,B,2026-08-21
159,8057,NY,B,2026-08-21
160,8058,CA,C,2026-08-21
161,8059,NY,A,2026-08-21
162,8060,CA,A,2026-08-21
163,8061,NY,B,2026-08-21
164,8062,CA,B,2026-08-21
165,8063,NY,C,2026-08-21
166,8064,CA,A,2026-08-21
167,8065,NY,A,2026-08-21
168,8066,CA,B,2026-08-21
169,8067,NY,B,2026-08-21
170,8068,CA,C,2026-08-21
171,8069,NY,A,2026-08-21
172,8070,CA,A,2026-08-21
173,8071,NY,B,2026-08-21
174,8072,CA,B,2026-08-21
175,8073,NY,C,2026-08-21
176,8074,CA,A,2026-08-21
177,8075,NY,A,2026-08-21
178,8076,CA,B,2026-08-21
179,8077,NY,B,2026-08-21
180,8078,CA,C,2026-08-21
181,8079,NY,A,2026-08-21
182,8080,CA,A,2026-08-21
183,8081,NY,B,2026-08-21
184,8082,CA,B,2026-08-21
185,8083,NY,C,2026-08-21
186,8084,CA,A,2026-08-21
187,8085,NY,A,2026-08-21
188,8086,CA,B,2026-08-21
189,8087,NY,B,2026-08-21
190,8088,CA,C,2026-08-21
191,8089,NY,A,2026-08-21
192,8090,CA,A,2026-08-21
193,8091,NY,B,2026-08-21
194,8092,CA,B,2026-08-21
195,8093,NY,C,2026-08-21
196,8094,CA,A,2026-08-21
197,8095,NY,A,2026-08-21
198,8096,CA,B,2026-08-21
199,8097,NY,B,2026-08-21
200,8098,CA,C,2026-08-21
201,8099,NY,A,2026-08-21
202,8100,CA,A,2026-08-21
203,8000,NY,B,2026-08-21
204,8001,CA,B,2026-08-21
205,8002,NY,C,2026-08-21
206,8003,CA,A,2026-08-21
207,8004,NY,A,2026-08-21
208,8005,CA,B,2026-08-21
209,8006,NY,B,2026-08-21
210,8007,CA,C,2026-08-21
211,8008,NY,A,2026-08-21
212,8009,CA,A,2026-08-21
213,8010,NY,B,2026-08-21
214,8011,CA,B,2026-08-21
215,8012,NY,C,2026-08-21
216,8013,CA,A,2026-08-21
217,8014,NY,A,2026-08-21
218,8015,CA,B,2026-08-21
219,8016,NY,B,2026-08-21
220,8017,CA,C,2026-08-21
221,8018,NY,A,2026-08-21
222,8019,CA,A,2026-08-21
223,8020,NY,B,2026-08-21
224,8021,CA,B,2026-08-21
225,8022,NY,C,2026-08-21
226,8023,CA,A,2026-08-21
227,8024,NY,A,2026-08-21
228,8025,CA,B,2026-08-21
229,8026,NY,B,2026-08-21
230,8027,CA,C,2026-08-21
231,8028,NY,A,2026-08-21
232,8029,CA,A,2026-08-21
233,8030,NY,B,2026-08-21
234,8031,CA,B,2026-08-21
235,8032,NY,C,2026-08-21
236,8033,CA,A,2026-08-21
237,8034,NY,A,2026-08-21
238,8035,CA,B,2026-08-21
239,8036,NY,B,2026-08-21
240,8037,CA,C,2026-08-21
241,8038,NY,A,2026-08-21
242,8039,CA,A,2026-08-21
243,8040,NY,B,2026-08-21
244,8041,CA,B,2026-08-21
245,8042,NY,C,2026-08-21
246,8043,CA,A,2026-08-21
247,8044,NY,A,2026-08-21
248,8045,CA,B,2026-08-21
249,8046,NY,B,2026-08-21
250,8047,CA,C,2026-08-21
